enzyme,replicate,substrate_mM,rate
Enzyme_1,1,0.01,-5.438463685682025
Enzyme_1,1,0.05,
Enzyme_1,1,0.7727272727272728,28.823509715477492
Enzyme_1,1,0.9181818181818182,29.04969545281108
Enzyme_1,1,1.4954545454545456,42.96580314221932
Enzyme_1,1,1.8263636363636364,46.757700721329414
Enzyme_1,1,2.2181818181818183,53.93446839271865
Enzyme_1,1,2.7345454545454544,58.66928460787658
Enzyme_1,1,2.940909090909091,66.33202021145364
Enzyme_1,1,3.6427272727272726,74.34132244863852
Enzyme_1,1,3.6636363636363636,69.40564987024572
Enzyme_1,1,4.386363636363637,75.60658038247372
Enzyme_1,1,4.550909090909091,75.12816470737368
Enzyme_1,1,5.109090909090909,82.69848156505371
Enzyme_1,1,5.459090909090909,82.66347715324358
Enzyme_1,1,5.831818181818182,90.37008095650833
Enzyme_1,1,6.367272727272727,81.78583791455299
Enzyme_1,1,6.554545454545455,88.31747987628226
Enzyme_1,1,7.275454545454545,91.08685558277713
Enzyme_1,1,7.277272727272727,87.8748362476961
Enzyme_1,1,8.0,93.76270793810241
Enzyme_1,1,8.183636363636364,86.16558265114512
Enzyme_1,1,9.091818181818182,102.5948890110045
Enzyme_1,1,10.0,90.63182218685424
Enzyme_1,2,0.01,-0.1454060856016316
Enzyme_1,2,0.05,6.66427603849367
Enzyme_1,2,0.7727272727272728,24.583519563163268
Enzyme_1,2,0.9181818181818182,40.038942864165286
Enzyme_1,2,1.4954545454545456,41.32857090962987
Enzyme_1,2,1.8263636363636364,54.47539030325558
Enzyme_1,2,2.2181818181818183,58.594034467910966
Enzyme_1,2,2.7345454545454544,62.07220524551726
Enzyme_1,2,2.940909090909091,69.1842873033422
Enzyme_1,2,3.6427272727272726,65.16256302123287
Enzyme_1,2,3.6636363636363636,76.75772077605133
Enzyme_1,2,4.386363636363637,76.18090744847548
Enzyme_1,2,4.550909090909091,75.2825539979673
Enzyme_1,2,5.109090909090909,83.57017289466928
Enzyme_1,2,5.459090909090909,86.54684905268367
Enzyme_1,2,5.831818181818182,87.07263507764995
Enzyme_1,2,6.367272727272727,94.16574134528307
Enzyme_1,2,6.554545454545455,91.19037418371846
Enzyme_1,2,7.275454545454545,94.44491651387207
Enzyme_1,2,7.277272727272727,87.15714118295362
Enzyme_1,2,8.0,91.85466653681955
Enzyme_1,2,8.183636363636364,94.17160357640896
Enzyme_1,2,9.091818181818182,94.04870794127403
Enzyme_1,2,10.0,97.20654093269295
Enzyme_1,3,0.01,6.081640794453621
Enzyme_1,3,0.05,0.7781135414328042
Enzyme_1,3,0.7727272727272728,27.3225790083421
Enzyme_1,3,0.9181818181818182,16.636355632974137
Enzyme_1,3,1.4954545454545456,46.76799712474617
Enzyme_1,3,1.8263636363636364,52.84608384308795
Enzyme_1,3,2.2181818181818183,63.471221249335755
Enzyme_1,3,2.7345454545454544,60.741388640677236
Enzyme_1,3,2.940909090909091,65.23877201325936
Enzyme_1,3,3.6427272727272726,68.33964635782131
Enzyme_1,3,3.6636363636363636,66.62240536863744
Enzyme_1,3,4.386363636363637,73.5832116974086
Enzyme_1,3,4.550909090909091,76.0723009010782
Enzyme_1,3,5.109090909090909,85.9952288171882
Enzyme_1,3,5.459090909090909,82.31609940858021
Enzyme_1,3,5.831818181818182,80.83127411648398
Enzyme_1,3,6.367272727272727,86.73523737407005
Enzyme_1,3,6.554545454545455,87.73775530175821
Enzyme_1,3,7.275454545454545,86.60596176029061
Enzyme_1,3,7.277272727272727,
Enzyme_1,3,8.0,83.87517586466483
Enzyme_1,3,8.183636363636364,91.06549473477493
Enzyme_1,3,9.091818181818182,96.7799411506042
Enzyme_1,3,10.0,90.64626992209259
Enzyme_1,4,0.01,-2.565396700623325
Enzyme_1,4,0.05,-0.6113808382683263
Enzyme_1,4,0.7727272727272728,27.383670546395148
Enzyme_1,4,0.9181818181818182,35.190754901637696
Enzyme_1,4,1.4954545454545456,42.869340412129716
Enzyme_1,4,1.8263636363636364,57.96447644421109
Enzyme_1,4,2.2181818181818183,57.57608098045239
Enzyme_1,4,2.7345454545454544,62.27813234751526
Enzyme_1,4,2.940909090909091,70.65919412899702
Enzyme_1,4,3.6427272727272726,73.66688295694706
Enzyme_1,4,3.6636363636363636,72.80458073106887
Enzyme_1,4,4.386363636363637,75.11108203327834
Enzyme_1,4,4.550909090909091,84.70823745299235
Enzyme_1,4,5.109090909090909,83.82076306146891
Enzyme_1,4,5.459090909090909,81.49360765450785
Enzyme_1,4,5.831818181818182,77.68465675242467
Enzyme_1,4,6.367272727272727,87.65953222815081
Enzyme_1,4,6.554545454545455,82.2925095111117
Enzyme_1,4,7.275454545454545,82.44710617715717
Enzyme_1,4,7.277272727272727,88.19999090978864
Enzyme_1,4,8.0,92.55445583893392
Enzyme_1,4,8.183636363636364,97.04959818183953
Enzyme_1,4,9.091818181818182,95.24948418922821
Enzyme_1,4,10.0,99.224078108683
Enzyme_2,1,0.01,2.7953591498885593
Enzyme_2,1,0.05,7.474256629675167
Enzyme_2,1,0.7727272727272728,29.4303660941501
Enzyme_2,1,0.9181818181818182,37.762308893878746
Enzyme_2,1,1.4954545454545456,44.15258166582579
Enzyme_2,1,1.8263636363636364,52.57640734106516
Enzyme_2,1,2.2181818181818183,47.900655329052725
Enzyme_2,1,2.7345454545454544,52.48250835856321
Enzyme_2,1,2.940909090909091,61.891611252402214
Enzyme_2,1,3.6427272727272726,59.392123655433046
Enzyme_2,1,3.6636363636363636,58.825839656172775
Enzyme_2,1,4.386363636363637,63.12558666682325
Enzyme_2,1,4.550909090909091,60.54899720821106
Enzyme_2,1,5.109090909090909,70.11162714559198
Enzyme_2,1,5.459090909090909,60.586967140736654
Enzyme_2,1,5.831818181818182,65.74537788374002
Enzyme_2,1,6.367272727272727,68.70160258922944
Enzyme_2,1,6.554545454545455,67.2023758503457
Enzyme_2,1,7.275454545454545,65.46402368960001
Enzyme_2,1,7.277272727272727,65.2020464301481
Enzyme_2,1,8.0,71.26679509458765
Enzyme_2,1,8.183636363636364,65.64750272946301
Enzyme_2,1,9.091818181818182,73.25717292514796
Enzyme_2,1,10.0,65.33197797399026
Enzyme_2,2,0.01,-2.0023472941783593
Enzyme_2,2,0.05,2.166467589183187
Enzyme_2,2,0.7727272727272728,28.239614234388597
Enzyme_2,2,0.9181818181818182,24.99077952854371
Enzyme_2,2,1.4954545454545456,39.60645189928221
Enzyme_2,2,1.8263636363636364,
Enzyme_2,2,2.2181818181818183,58.1432054397078
Enzyme_2,2,2.7345454545454544,62.85506005682894
Enzyme_2,2,2.940909090909091,57.20369193633552
Enzyme_2,2,3.6427272727272726,63.749994039487056
Enzyme_2,2,3.6636363636363636,63.893593885833546
Enzyme_2,2,4.386363636363637,60.046260253949995
Enzyme_2,2,4.550909090909091,56.515227715780085
Enzyme_2,2,5.109090909090909,64.907410948889
Enzyme_2,2,5.459090909090909,58.534813758478116
Enzyme_2,2,5.831818181818182,
Enzyme_2,2,6.367272727272727,69.74625979357745
Enzyme_2,2,6.554545454545455,
Enzyme_2,2,7.275454545454545,68.80235540679809
Enzyme_2,2,7.277272727272727,73.63567567839445
Enzyme_2,2,8.0,71.01126728738821
Enzyme_2,2,8.183636363636364,71.85871133312854
Enzyme_2,2,9.091818181818182,74.29916375755478
Enzyme_2,2,10.0,78.36042371709615
Enzyme_2,3,0.01,3.7296311977692036
Enzyme_2,3,0.05,12.766738141717195
Enzyme_2,3,0.7727272727272728,24.59179538216478
Enzyme_2,3,0.9181818181818182,31.669294083497853
Enzyme_2,3,1.4954545454545456,48.86507039347526
Enzyme_2,3,1.8263636363636364,47.69844971313555
Enzyme_2,3,2.2181818181818183,56.559253016191576
Enzyme_2,3,2.7345454545454544,51.56048227900256
Enzyme_2,3,2.940909090909091,58.14206167281257
Enzyme_2,3,3.6427272727272726,59.57423427441914
Enzyme_2,3,3.6636363636363636,60.82316513448402
Enzyme_2,3,4.386363636363637,
Enzyme_2,3,4.550909090909091,58.42696158699868
Enzyme_2,3,5.109090909090909,60.48731173003256
Enzyme_2,3,5.459090909090909,71.18059377502196
Enzyme_2,3,5.831818181818182,67.52062472350545
Enzyme_2,3,6.367272727272727,67.73917677823049
Enzyme_2,3,6.554545454545455,67.44386523615773
Enzyme_2,3,7.275454545454545,70.099343865896
Enzyme_2,3,7.277272727272727,64.0518562595364
Enzyme_2,3,8.0,65.56910806372277
Enzyme_2,3,8.183636363636364,74.98745751895555
Enzyme_2,3,9.091818181818182,71.27730298967646
Enzyme_2,3,10.0,74.82977492318757
Enzyme_2,4,0.01,0.19812084867343982
Enzyme_2,4,0.05,4.379201271774401
Enzyme_2,4,0.7727272727272728,30.264389187497855
Enzyme_2,4,0.9181818181818182,33.190508709158
Enzyme_2,4,1.4954545454545456,49.39282142076382
Enzyme_2,4,1.8263636363636364,44.49233165003143
Enzyme_2,4,2.2181818181818183,50.51703973258164
Enzyme_2,4,2.7345454545454544,47.475663319337826
Enzyme_2,4,2.940909090909091,58.98056481538633
Enzyme_2,4,3.6427272727272726,63.48951738509806
Enzyme_2,4,3.6636363636363636,62.45562957337699
Enzyme_2,4,4.386363636363637,
Enzyme_2,4,4.550909090909091,65.06981401667674
Enzyme_2,4,5.109090909090909,66.15392323528339
Enzyme_2,4,5.459090909090909,67.47940601539233
Enzyme_2,4,5.831818181818182,65.27853614936852
Enzyme_2,4,6.367272727272727,72.0671028968056
Enzyme_2,4,6.554545454545455,66.22587586655533
Enzyme_2,4,7.275454545454545,62.82376617045077
Enzyme_2,4,7.277272727272727,72.074737671632
Enzyme_2,4,8.0,76.96802851111029
Enzyme_2,4,8.183636363636364,65.9288200529673
Enzyme_2,4,9.091818181818182,70.26567758391637
Enzyme_2,4,10.0,68.68680338569932
